paper1,paper2,coupling_strength
https://openalex.org/W3005981547,https://openalex.org/W3119033176,48
https://openalex.org/W2099504029,https://openalex.org/W3005981547,44
https://openalex.org/W2099504029,https://openalex.org/W2107583208,37
https://openalex.org/W2107583208,https://openalex.org/W3005981547,35
https://openalex.org/W2107583208,https://openalex.org/W3119033176,31
https://openalex.org/W2099504029,https://openalex.org/W3119033176,28
https://openalex.org/W2099504029,https://openalex.org/W2404141049,23
https://openalex.org/W3119033176,https://openalex.org/W3194468518,20
https://openalex.org/W2107583208,https://openalex.org/W2162084786,19
https://openalex.org/W2094255732,https://openalex.org/W2107583208,19
https://openalex.org/W2132572134,https://openalex.org/W3005981547,18
https://openalex.org/W2099504029,https://openalex.org/W2162084786,18
https://openalex.org/W2107583208,https://openalex.org/W2404141049,17
https://openalex.org/W2404141049,https://openalex.org/W3119033176,17
https://openalex.org/W2578695135,https://openalex.org/W3082361867,17
https://openalex.org/W1971022314,https://openalex.org/W2107583208,15
https://openalex.org/W2162084786,https://openalex.org/W3005981547,15
https://openalex.org/W2107583208,https://openalex.org/W2597608082,14
https://openalex.org/W2214124115,https://openalex.org/W2919467037,14
https://openalex.org/W2404141049,https://openalex.org/W3005981547,14
https://openalex.org/W2099504029,https://openalex.org/W2292624613,14
https://openalex.org/W2129236002,https://openalex.org/W2404141049,14
https://openalex.org/W2129236002,https://openalex.org/W3005981547,14
https://openalex.org/W2099504029,https://openalex.org/W2132572134,14
https://openalex.org/W2597608082,https://openalex.org/W3005981547,13
https://openalex.org/W2132572134,https://openalex.org/W3119033176,13
https://openalex.org/W2810134117,https://openalex.org/W3184750000,13
https://openalex.org/W2597608082,https://openalex.org/W3119033176,13
https://openalex.org/W2107583208,https://openalex.org/W2132572134,13
https://openalex.org/W2094255732,https://openalex.org/W3005981547,13
https://openalex.org/W2803456993,https://openalex.org/W3119033176,12
https://openalex.org/W2129236002,https://openalex.org/W2162084786,12
https://openalex.org/W2099504029,https://openalex.org/W2129236002,12
https://openalex.org/W2810134117,https://openalex.org/W3119033176,12
https://openalex.org/W2404141049,https://openalex.org/W2568619829,12
https://openalex.org/W2107583208,https://openalex.org/W2129236002,12
https://openalex.org/W2007201594,https://openalex.org/W2094255732,11
https://openalex.org/W2574314595,https://openalex.org/W3119033176,11
https://openalex.org/W2810134117,https://openalex.org/W3005981547,11
https://openalex.org/W2919467037,https://openalex.org/W3119033176,11
https://openalex.org/W2567967956,https://openalex.org/W2810134117,11
https://openalex.org/W2099504029,https://openalex.org/W2797086257,11
https://openalex.org/W3119033176,https://openalex.org/W3184750000,10
https://openalex.org/W2515075153,https://openalex.org/W2797086257,10
