paper1,paper2,cocitation_strength
https://openalex.org/W2099504029,https://openalex.org/W2107583208,134
https://openalex.org/W2099504029,https://openalex.org/W2214124115,92
https://openalex.org/W2099504029,https://openalex.org/W2919467037,91
https://openalex.org/W2099504029,https://openalex.org/W2404141049,88
https://openalex.org/W2099504029,https://openalex.org/W2797086257,65
https://openalex.org/W2099504029,https://openalex.org/W3005981547,54
https://openalex.org/W2214124115,https://openalex.org/W2919467037,54
https://openalex.org/W2094255732,https://openalex.org/W2107583208,53
https://openalex.org/W2099504029,https://openalex.org/W2129236002,53
https://openalex.org/W2568619829,https://openalex.org/W2596589504,44
https://openalex.org/W2797086257,https://openalex.org/W2919467037,43
https://openalex.org/W2107583208,https://openalex.org/W3005981547,42
https://openalex.org/W2107583208,https://openalex.org/W2162084786,42
https://openalex.org/W2099504029,https://openalex.org/W3119033176,41
https://openalex.org/W2099504029,https://openalex.org/W2292624613,38
https://openalex.org/W2214124115,https://openalex.org/W2292624613,37
https://openalex.org/W2404141049,https://openalex.org/W2797086257,36
https://openalex.org/W2404141049,https://openalex.org/W2919467037,36
https://openalex.org/W2107583208,https://openalex.org/W2404141049,36
https://openalex.org/W2099504029,https://openalex.org/W2162084786,35
https://openalex.org/W2919467037,https://openalex.org/W3005981547,35
https://openalex.org/W2099504029,https://openalex.org/W2326394492,33
https://openalex.org/W2099504029,https://openalex.org/W2132572134,32
https://openalex.org/W2099504029,https://openalex.org/W2810134117,32
https://openalex.org/W2107583208,https://openalex.org/W2797086257,32
https://openalex.org/W2596589504,https://openalex.org/W3023350488,30
https://openalex.org/W3005981547,https://openalex.org/W3119033176,30
https://openalex.org/W2107583208,https://openalex.org/W3119033176,29
https://openalex.org/W2099504029,https://openalex.org/W2574314595,29
https://openalex.org/W2214124115,https://openalex.org/W2404141049,28
https://openalex.org/W2107583208,https://openalex.org/W2574314595,26
https://openalex.org/W1971022314,https://openalex.org/W2107583208,26
https://openalex.org/W2797086257,https://openalex.org/W3119033176,26
https://openalex.org/W2107583208,https://openalex.org/W2919467037,25
https://openalex.org/W2107583208,https://openalex.org/W2129236002,25
https://openalex.org/W2129236002,https://openalex.org/W2404141049,24
https://openalex.org/W2094255732,https://openalex.org/W2099504029,24
https://openalex.org/W2099504029,https://openalex.org/W2803456993,23
https://openalex.org/W2214124115,https://openalex.org/W3005981547,23
https://openalex.org/W2107583208,https://openalex.org/W2214124115,22
https://openalex.org/W2919467037,https://openalex.org/W3119033176,22
https://openalex.org/W2214124115,https://openalex.org/W2797086257,22
https://openalex.org/W2107583208,https://openalex.org/W2132572134,22
https://openalex.org/W2132572134,https://openalex.org/W3005981547,21
https://openalex.org/W2099504029,https://openalex.org/W2409632422,21
https://openalex.org/W2797086257,https://openalex.org/W2803456993,21
https://openalex.org/W2107583208,https://openalex.org/W2567967956,21
https://openalex.org/W2417249256,https://openalex.org/W2596589504,21
https://openalex.org/W2797086257,https://openalex.org/W3005981547,21
https://openalex.org/W2107583208,https://openalex.org/W2597608082,21
https://openalex.org/W2099504029,https://openalex.org/W2567967956,20
https://openalex.org/W2214124115,https://openalex.org/W3119033176,20
https://openalex.org/W2107583208,https://openalex.org/W2810134117,20
https://openalex.org/W2404141049,https://openalex.org/W3119033176,19
https://openalex.org/W2214124115,https://openalex.org/W2326394492,19
https://openalex.org/W2409632422,https://openalex.org/W2810134117,19
https://openalex.org/W2404141049,https://openalex.org/W2574314595,19
https://openalex.org/W2567967956,https://openalex.org/W2810134117,18
https://openalex.org/W2099504029,https://openalex.org/W2515075153,18
https://openalex.org/W2099504029,https://openalex.org/W2805382151,18
https://openalex.org/W2574314595,https://openalex.org/W3005981547,17
https://openalex.org/W2107583208,https://openalex.org/W2409632422,17
https://openalex.org/W2810134117,https://openalex.org/W3005981547,17
https://openalex.org/W2810134117,https://openalex.org/W2919467037,16
https://openalex.org/W2099504029,https://openalex.org/W2789275349,16
https://openalex.org/W2107583208,https://openalex.org/W2803456993,16
https://openalex.org/W2417249256,https://openalex.org/W2568619829,16
https://openalex.org/W2404141049,https://openalex.org/W3005981547,15
https://openalex.org/W2789275349,https://openalex.org/W2919467037,15
https://openalex.org/W2129236002,https://openalex.org/W2919467037,15
https://openalex.org/W2214124115,https://openalex.org/W2567967956,14
https://openalex.org/W2099504029,https://openalex.org/W3023350488,14
https://openalex.org/W2129236002,https://openalex.org/W2214124115,14
https://openalex.org/W2214124115,https://openalex.org/W2810134117,14
https://openalex.org/W2107583208,https://openalex.org/W2515075153,14
https://openalex.org/W1971022314,https://openalex.org/W2099504029,13
https://openalex.org/W2803456993,https://openalex.org/W2919467037,13
https://openalex.org/W2574314595,https://openalex.org/W2797086257,13
https://openalex.org/W2129236002,https://openalex.org/W3005981547,13
https://openalex.org/W2214124115,https://openalex.org/W2789275349,13
https://openalex.org/W3032488597,https://openalex.org/W3184750000,13
