paper1,paper2,cocitation_strength
https://openalex.org/W4225010656,https://openalex.org/W4225097818,48
https://openalex.org/W4225163156,https://openalex.org/W4225166214,24
https://openalex.org/W4225001124,https://openalex.org/W4225003795,14
https://openalex.org/W4224986677,https://openalex.org/W4225000207,14
https://openalex.org/W4224992082,https://openalex.org/W4225003999,11
https://openalex.org/W4224992082,https://openalex.org/W4225016353,8
https://openalex.org/W4224982779,https://openalex.org/W4225103667,8
https://openalex.org/W4224987089,https://openalex.org/W4225011401,8
https://openalex.org/W4225139328,https://openalex.org/W4225142345,7
https://openalex.org/W4224990314,https://openalex.org/W4225105010,6
https://openalex.org/W4224992620,https://openalex.org/W4225103613,6
https://openalex.org/W4221029209,https://openalex.org/W4225001124,5
https://openalex.org/W4224992082,https://openalex.org/W4225016355,5
https://openalex.org/W4224992683,https://openalex.org/W4224999418,5
https://openalex.org/W4221164056,https://openalex.org/W4224991060,5
https://openalex.org/W4224980442,https://openalex.org/W4224989671,5
https://openalex.org/W4225014345,https://openalex.org/W4225105010,5
https://openalex.org/W4221047484,https://openalex.org/W4224982650,5
https://openalex.org/W4224988875,https://openalex.org/W4224992918,5
https://openalex.org/W4224985466,https://openalex.org/W4225139328,4
https://openalex.org/W4224999418,https://openalex.org/W4225162252,4
https://openalex.org/W4224982650,https://openalex.org/W4225003999,4
https://openalex.org/W4224992620,https://openalex.org/W4224999418,4
https://openalex.org/W4221158799,https://openalex.org/W4225115595,4
https://openalex.org/W4224991060,https://openalex.org/W4224993644,4
https://openalex.org/W4224979739,https://openalex.org/W4225120919,4
https://openalex.org/W4224990230,https://openalex.org/W4225105010,4
https://openalex.org/W4224992683,https://openalex.org/W4225006216,4
https://openalex.org/W4224979523,https://openalex.org/W4224992194,4
https://openalex.org/W4224992620,https://openalex.org/W4225011401,4
https://openalex.org/W4225090108,https://openalex.org/W4225164728,4
https://openalex.org/W4221119676,https://openalex.org/W4225163156,3
https://openalex.org/W4225012808,https://openalex.org/W4225095645,3
https://openalex.org/W4225017028,https://openalex.org/W4225098379,3
https://openalex.org/W4224980442,https://openalex.org/W4224990230,3
https://openalex.org/W4224990314,https://openalex.org/W4224999418,3
https://openalex.org/W4220984391,https://openalex.org/W4225082673,3
https://openalex.org/W4224987089,https://openalex.org/W4225003795,3
https://openalex.org/W4225013403,https://openalex.org/W4225109361,3
https://openalex.org/W4221158799,https://openalex.org/W4221163951,3
https://openalex.org/W4224991000,https://openalex.org/W4225102280,3
https://openalex.org/W4224987089,https://openalex.org/W4225120163,3
https://openalex.org/W4224997518,https://openalex.org/W4225012795,3
https://openalex.org/W4220936192,https://openalex.org/W4225011935,3
https://openalex.org/W4225086399,https://openalex.org/W4225163156,3
https://openalex.org/W4224980442,https://openalex.org/W4225105010,3
https://openalex.org/W4225107257,https://openalex.org/W4225162252,3
https://openalex.org/W4225003795,https://openalex.org/W4225011401,3
https://openalex.org/W4221029209,https://openalex.org/W4225114665,3
https://openalex.org/W4225003999,https://openalex.org/W4225016353,3
https://openalex.org/W4224987089,https://openalex.org/W4224990374,3
https://openalex.org/W4221029209,https://openalex.org/W4224982650,3
https://openalex.org/W4225011965,https://openalex.org/W4225086399,3
https://openalex.org/W4225103613,https://openalex.org/W4225156178,3
https://openalex.org/W4224992620,https://openalex.org/W4225006216,3
https://openalex.org/W4224992620,https://openalex.org/W4224992683,3
https://openalex.org/W4224999418,https://openalex.org/W4225105010,3
https://openalex.org/W4225012795,https://openalex.org/W4225103618,3
https://openalex.org/W4220727484,https://openalex.org/W4225003795,3
https://openalex.org/W4225001124,https://openalex.org/W4225103618,3
https://openalex.org/W4225003795,https://openalex.org/W4225103618,2
https://openalex.org/W4224991146,https://openalex.org/W4225003999,2
https://openalex.org/W4224979401,https://openalex.org/W4225151152,2
https://openalex.org/W4225001757,https://openalex.org/W4225090108,2
https://openalex.org/W4224985466,https://openalex.org/W4225164125,2
https://openalex.org/W4224998981,https://openalex.org/W4225108991,2
https://openalex.org/W4225013419,https://openalex.org/W4225115595,2
https://openalex.org/W4224979325,https://openalex.org/W4225011935,2
https://openalex.org/W4224998622,https://openalex.org/W4225000233,2
https://openalex.org/W4225001124,https://openalex.org/W4225012795,2
https://openalex.org/W4224979390,https://openalex.org/W4225012795,2
https://openalex.org/W4225003999,https://openalex.org/W4225110307,2
https://openalex.org/W4220936192,https://openalex.org/W4224991000,2
https://openalex.org/W4224984058,https://openalex.org/W4225011183,2
https://openalex.org/W4220955183,https://openalex.org/W4225097818,2
https://openalex.org/W4220936192,https://openalex.org/W4225105010,2
https://openalex.org/W4224985466,https://openalex.org/W4225142345,2
https://openalex.org/W4221119676,https://openalex.org/W4225012808,2
https://openalex.org/W4225000233,https://openalex.org/W4225103613,2
https://openalex.org/W4225011401,https://openalex.org/W4225103613,2
https://openalex.org/W4225100575,https://openalex.org/W4225103613,2
https://openalex.org/W4225002444,https://openalex.org/W4225011183,2
https://openalex.org/W4221047484,https://openalex.org/W4224995359,2
https://openalex.org/W4224991146,https://openalex.org/W4224995359,2
https://openalex.org/W4224990230,https://openalex.org/W4224991000,2
https://openalex.org/W4224985466,https://openalex.org/W4224987089,2
https://openalex.org/W4224992620,https://openalex.org/W4225000207,2
https://openalex.org/W4224992620,https://openalex.org/W4225003795,2
https://openalex.org/W4225000207,https://openalex.org/W4225003795,2
https://openalex.org/W4225000207,https://openalex.org/W4225011401,2
https://openalex.org/W4224988227,https://openalex.org/W4225011935,2
https://openalex.org/W4224984797,https://openalex.org/W4225000207,2
https://openalex.org/W4221164056,https://openalex.org/W4225102280,2
https://openalex.org/W4221164056,https://openalex.org/W4225002467,2
https://openalex.org/W4224989665,https://openalex.org/W4224995304,2
https://openalex.org/W4224981839,https://openalex.org/W4225162956,2
https://openalex.org/W4224992620,https://openalex.org/W4225156178,2
https://openalex.org/W4224997964,https://openalex.org/W4225115449,2
https://openalex.org/W4221029209,https://openalex.org/W4225110307,2
https://openalex.org/W4221029209,https://openalex.org/W4224987089,2
https://openalex.org/W4221164056,https://openalex.org/W4225091435,2
https://openalex.org/W4220984391,https://openalex.org/W4225086399,2
https://openalex.org/W4225016353,https://openalex.org/W4225016355,2
https://openalex.org/W4224989671,https://openalex.org/W4225096941,2
https://openalex.org/W4221164056,https://openalex.org/W4224992620,2
https://openalex.org/W4221164056,https://openalex.org/W4224999418,2
https://openalex.org/W4220984391,https://openalex.org/W4224992194,2
https://openalex.org/W4220984391,https://openalex.org/W4224997964,2
https://openalex.org/W4224992194,https://openalex.org/W4224997964,2
https://openalex.org/W4225086399,https://openalex.org/W4225166214,2
https://openalex.org/W4221029209,https://openalex.org/W4224992082,2
https://openalex.org/W4224992683,https://openalex.org/W4225095645,2
https://openalex.org/W4225003999,https://openalex.org/W4225016355,2
https://openalex.org/W4225011965,https://openalex.org/W4225012808,2
https://openalex.org/W4225009750,https://openalex.org/W4225105010,2
https://openalex.org/W4221029209,https://openalex.org/W4225013489,2
https://openalex.org/W4224987089,https://openalex.org/W4224992620,2
https://openalex.org/W4224982779,https://openalex.org/W4225094277,2
https://openalex.org/W4221158799,https://openalex.org/W4224991000,2
https://openalex.org/W4225007817,https://openalex.org/W4225011401,2
https://openalex.org/W4220936192,https://openalex.org/W4225115595,2
https://openalex.org/W4224997456,https://openalex.org/W4225091435,2
https://openalex.org/W4225103613,https://openalex.org/W4225115595,2
https://openalex.org/W4212894176,https://openalex.org/W4225003795,2
https://openalex.org/W4225003795,https://openalex.org/W4225007817,2
https://openalex.org/W4225003999,https://openalex.org/W4225150439,2
https://openalex.org/W4224982650,https://openalex.org/W4225110307,2
https://openalex.org/W4221047484,https://openalex.org/W4224991146,2
https://openalex.org/W4225003795,https://openalex.org/W4225012795,1
https://openalex.org/W4221163951,https://openalex.org/W4225013419,1
https://openalex.org/W4224979739,https://openalex.org/W4225105010,1
https://openalex.org/W4224982779,https://openalex.org/W4225122276,1
https://openalex.org/W4225007817,https://openalex.org/W4225108150,1
https://openalex.org/W4225011401,https://openalex.org/W4225013404,1
https://openalex.org/W4225011401,https://openalex.org/W4225108150,1
https://openalex.org/W4225013404,https://openalex.org/W4225108150,1
https://openalex.org/W4220727484,https://openalex.org/W4225001124,1
https://openalex.org/W4224985466,https://openalex.org/W4225115449,1
https://openalex.org/W4224992082,https://openalex.org/W4225001758,1
https://openalex.org/W4225001758,https://openalex.org/W4225016353,1
https://openalex.org/W4225001758,https://openalex.org/W4225149108,1
https://openalex.org/W4224997456,https://openalex.org/W4225007817,1
https://openalex.org/W4224992620,https://openalex.org/W4225103667,1
https://openalex.org/W4225142345,https://openalex.org/W4225164125,1
https://openalex.org/W4221164056,https://openalex.org/W4225105010,1
https://openalex.org/W4220727484,https://openalex.org/W4220984391,1
https://openalex.org/W4220727484,https://openalex.org/W4225010656,1
https://openalex.org/W4224982650,https://openalex.org/W4225014740,1
https://openalex.org/W4224984797,https://openalex.org/W4224992620,1
https://openalex.org/W4224984797,https://openalex.org/W4225115449,1
https://openalex.org/W4224992620,https://openalex.org/W4225115449,1
https://openalex.org/W4221163951,https://openalex.org/W4224979686,1
https://openalex.org/W4224995224,https://openalex.org/W4225001124,1
https://openalex.org/W4225107257,https://openalex.org/W4225109361,1
https://openalex.org/W4225082673,https://openalex.org/W4225086399,1
https://openalex.org/W4224992082,https://openalex.org/W4225011183,1
https://openalex.org/W4224991000,https://openalex.org/W4225011935,1
https://openalex.org/W4224992620,https://openalex.org/W4225013404,1
https://openalex.org/W4225006216,https://openalex.org/W4225014345,1
https://openalex.org/W4225114665,https://openalex.org/W4225145829,1
https://openalex.org/W4225000211,https://openalex.org/W4225115595,1
https://openalex.org/W4224990374,https://openalex.org/W4224992620,1
https://openalex.org/W4224989671,https://openalex.org/W4225000207,1
https://openalex.org/W4224985466,https://openalex.org/W4225103613,1
https://openalex.org/W4224990374,https://openalex.org/W4225011401,1
https://openalex.org/W4224997518,https://openalex.org/W4225016353,1
https://openalex.org/W4225003999,https://openalex.org/W4225164728,1
https://openalex.org/W4225011935,https://openalex.org/W4225164728,1
https://openalex.org/W4224995224,https://openalex.org/W4225002444,1
https://openalex.org/W4212894176,https://openalex.org/W4225007817,1
https://openalex.org/W4212894176,https://openalex.org/W4225011401,1
https://openalex.org/W4212894176,https://openalex.org/W4225013404,1
https://openalex.org/W4212894176,https://openalex.org/W4225108150,1
https://openalex.org/W4225003795,https://openalex.org/W4225013404,1
https://openalex.org/W4225003795,https://openalex.org/W4225108150,1
https://openalex.org/W4224984797,https://openalex.org/W4225103613,1
https://openalex.org/W4225107234,https://openalex.org/W4225122276,1
https://openalex.org/W4225107234,https://openalex.org/W4225142345,1
https://openalex.org/W4225122276,https://openalex.org/W4225142345,1
https://openalex.org/W4224979325,https://openalex.org/W4224992620,1
https://openalex.org/W4224979325,https://openalex.org/W4225011401,1
https://openalex.org/W4225007817,https://openalex.org/W4225013404,1
https://openalex.org/W4224979390,https://openalex.org/W4224985652,1
https://openalex.org/W4224995359,https://openalex.org/W4225011965,1
https://openalex.org/W4224991060,https://openalex.org/W4225093322,1
https://openalex.org/W3208416788,https://openalex.org/W4225009063,1
https://openalex.org/W4225001124,https://openalex.org/W4225114665,1
https://openalex.org/W4225003795,https://openalex.org/W4225114665,1
https://openalex.org/W4224990230,https://openalex.org/W4225000211,1
https://openalex.org/W4224990230,https://openalex.org/W4225103613,1
https://openalex.org/W4224990230,https://openalex.org/W4225115595,1
https://openalex.org/W4225000211,https://openalex.org/W4225103613,1
https://openalex.org/W4225003795,https://openalex.org/W4225082673,1
https://openalex.org/W4224992683,https://openalex.org/W4225151152,1
https://openalex.org/W4224980442,https://openalex.org/W4225006216,1
https://openalex.org/W4224980442,https://openalex.org/W4225009750,1
https://openalex.org/W4225006216,https://openalex.org/W4225009750,1
https://openalex.org/W4225006216,https://openalex.org/W4225105010,1
https://openalex.org/W4221029209,https://openalex.org/W4225154610,1
https://openalex.org/W4224984797,https://openalex.org/W4225108150,1
https://openalex.org/W4224981456,https://openalex.org/W4225103613,1
https://openalex.org/W4225094277,https://openalex.org/W4225103667,1
https://openalex.org/W4225016355,https://openalex.org/W4225092338,1
https://openalex.org/W4224992918,https://openalex.org/W4225011965,1
https://openalex.org/W4221047484,https://openalex.org/W4225114665,1
https://openalex.org/W4224995359,https://openalex.org/W4225107234,1
https://openalex.org/W4224995359,https://openalex.org/W4225122276,1
https://openalex.org/W4224995359,https://openalex.org/W4225142345,1
https://openalex.org/W4225011401,https://openalex.org/W4225083341,1
https://openalex.org/W4220936192,https://openalex.org/W4224992082,1
https://openalex.org/W4220936192,https://openalex.org/W4225003999,1
https://openalex.org/W4220936192,https://openalex.org/W4225164728,1
https://openalex.org/W4224992918,https://openalex.org/W4225103613,1
https://openalex.org/W4224992918,https://openalex.org/W4225103667,1
https://openalex.org/W4225103613,https://openalex.org/W4225103667,1
https://openalex.org/W4224992752,https://openalex.org/W4225016564,1
https://openalex.org/W4224987963,https://openalex.org/W4225100078,1
https://openalex.org/W4225105010,https://openalex.org/W4225162252,1
https://openalex.org/W4224991146,https://openalex.org/W4225004558,1
https://openalex.org/W4224992082,https://openalex.org/W4224998981,1
https://openalex.org/W4221029209,https://openalex.org/W4225003999,1
https://openalex.org/W4224999418,https://openalex.org/W4225095645,1
https://openalex.org/W4225003999,https://openalex.org/W4225092338,1
https://openalex.org/W4225001124,https://openalex.org/W4225082673,1
https://openalex.org/W4224979832,https://openalex.org/W4225156178,1
https://openalex.org/W4224990314,https://openalex.org/W4225156178,1
https://openalex.org/W4224991060,https://openalex.org/W4225091435,1
https://openalex.org/W4224992683,https://openalex.org/W4225108150,1
https://openalex.org/W4220727484,https://openalex.org/W4224979686,1
https://openalex.org/W4224998981,https://openalex.org/W4225016353,1
https://openalex.org/W4220936192,https://openalex.org/W4224999418,1
https://openalex.org/W4224992743,https://openalex.org/W4225012808,1
https://openalex.org/W4224989671,https://openalex.org/W4225012795,1
https://openalex.org/W4225009063,https://openalex.org/W4225097818,1
https://openalex.org/W4224992082,https://openalex.org/W4225089191,1
https://openalex.org/W4225003999,https://openalex.org/W4225089191,1
https://openalex.org/W4225002444,https://openalex.org/W4225103181,1
https://openalex.org/W4221158799,https://openalex.org/W4224979325,1
https://openalex.org/W4225011965,https://openalex.org/W4225132320,1
https://openalex.org/W4224992918,https://openalex.org/W4225015651,1
https://openalex.org/W4224984048,https://openalex.org/W4224995920,1
https://openalex.org/W4221108272,https://openalex.org/W4224979739,1
https://openalex.org/W4221108272,https://openalex.org/W4225089191,1
https://openalex.org/W4221108272,https://openalex.org/W4225120919,1
https://openalex.org/W4224979739,https://openalex.org/W4225089191,1
https://openalex.org/W4225089191,https://openalex.org/W4225120919,1
https://openalex.org/W4224981456,https://openalex.org/W4225011401,1
https://openalex.org/W4225016564,https://openalex.org/W4225115595,1
https://openalex.org/W4224999418,https://openalex.org/W4225006216,1
https://openalex.org/W4224989665,https://openalex.org/W4225101474,1
https://openalex.org/W4224992082,https://openalex.org/W4225011935,1
https://openalex.org/W4224992082,https://openalex.org/W4225164728,1
https://openalex.org/W4225003999,https://openalex.org/W4225011935,1
https://openalex.org/W4221047484,https://openalex.org/W4225004558,1
https://openalex.org/W4224979686,https://openalex.org/W4225012795,1
https://openalex.org/W4224979832,https://openalex.org/W4224990314,1
https://openalex.org/W4224986399,https://openalex.org/W4225014740,1
https://openalex.org/W4225089191,https://openalex.org/W4225094266,1
https://openalex.org/W4225103181,https://openalex.org/W4225164728,1
https://openalex.org/W4221164056,https://openalex.org/W4225094277,1
https://openalex.org/W4225002467,https://openalex.org/W4225094277,1
https://openalex.org/W4225014345,https://openalex.org/W4225122276,1
https://openalex.org/W4224985652,https://openalex.org/W4225016353,1
https://openalex.org/W4224992620,https://openalex.org/W4225100078,1
https://openalex.org/W4225100078,https://openalex.org/W4225156178,1
https://openalex.org/W4224988227,https://openalex.org/W4225014345,1
https://openalex.org/W4225012795,https://openalex.org/W4225017028,1
https://openalex.org/W4224997456,https://openalex.org/W4225011401,1
https://openalex.org/W4224997456,https://openalex.org/W4225100575,1
https://openalex.org/W4224997456,https://openalex.org/W4225103613,1
https://openalex.org/W4224997456,https://openalex.org/W4225156178,1
https://openalex.org/W4224983875,https://openalex.org/W4224991146,1
https://openalex.org/W4224986677,https://openalex.org/W4225091435,1
https://openalex.org/W4225000207,https://openalex.org/W4225091435,1
https://openalex.org/W4225103667,https://openalex.org/W4225108991,1
https://openalex.org/W4225001757,https://openalex.org/W4225150439,1
https://openalex.org/W4225006216,https://openalex.org/W4225109361,1
https://openalex.org/W4220727484,https://openalex.org/W4225082673,1
https://openalex.org/W4224992620,https://openalex.org/W4225127221,1
https://openalex.org/W4221164056,https://openalex.org/W4224991000,1
https://openalex.org/W4221164056,https://openalex.org/W4225120919,1
https://openalex.org/W4224991000,https://openalex.org/W4224991060,1
https://openalex.org/W4224991000,https://openalex.org/W4225120919,1
https://openalex.org/W4224991060,https://openalex.org/W4225102280,1
https://openalex.org/W4224991060,https://openalex.org/W4225120919,1
https://openalex.org/W4225102280,https://openalex.org/W4225120919,1
https://openalex.org/W4224979832,https://openalex.org/W4225127221,1
https://openalex.org/W4224999418,https://openalex.org/W4225011935,1
https://openalex.org/W4225000207,https://openalex.org/W4225101474,1
https://openalex.org/W4225003795,https://openalex.org/W4225101474,1
https://openalex.org/W4225012808,https://openalex.org/W4225110307,1
https://openalex.org/W4224985652,https://openalex.org/W4225017028,1
https://openalex.org/W4224995224,https://openalex.org/W4225012808,1
https://openalex.org/W4224979644,https://openalex.org/W4224989671,1
https://openalex.org/W4224979644,https://openalex.org/W4225096941,1
https://openalex.org/W4225014841,https://openalex.org/W4225132320,1
https://openalex.org/W4221047484,https://openalex.org/W4224992082,1
https://openalex.org/W4224990374,https://openalex.org/W4225120163,1
https://openalex.org/W4224998981,https://openalex.org/W4225015649,1
https://openalex.org/W4224979401,https://openalex.org/W4225015649,1
https://openalex.org/W4224985466,https://openalex.org/W4224990374,1
https://openalex.org/W4224989665,https://openalex.org/W4225117271,1
https://openalex.org/W4224992683,https://openalex.org/W4225162252,1
https://openalex.org/W4221164056,https://openalex.org/W4225000467,1
https://openalex.org/W4221164056,https://openalex.org/W4225014345,1
https://openalex.org/W4224979401,https://openalex.org/W4225002467,1
https://openalex.org/W4224979401,https://openalex.org/W4225014345,1
https://openalex.org/W4224979401,https://openalex.org/W4225091435,1
https://openalex.org/W4225002467,https://openalex.org/W4225014345,1
https://openalex.org/W4225002467,https://openalex.org/W4225091435,1
https://openalex.org/W4221029209,https://openalex.org/W4224995224,1
https://openalex.org/W4224984797,https://openalex.org/W4224997964,1
https://openalex.org/W4224979401,https://openalex.org/W4225100078,1
https://openalex.org/W4224986677,https://openalex.org/W4225156178,1
