source_paper_id,author_id,author_name,institutions,paper_subfield,paper_field,paper_topic,referenced_paper_id,referenced_paper_name,relationship
https://openalex.org/W3008406854,https://openalex.org/A5001390698,Richard M. Ryan,,Social Psychology,Psychology,Motivation and Self-Concept in Sports,https://openalex.org/W4242883546,"Self-determination theory and the facilitation of intrinsic motivation, social development, and well-being.",outgoing
https://openalex.org/W3008406854,https://openalex.org/A5001390698,Richard M. Ryan,University of Rochester,Social Psychology,Psychology,Motivation and Self-Concept in Sports,https://openalex.org/W2141846678,"Self-determination theory and the facilitation of intrinsic motivation, social development, and well-being.",outgoing
https://openalex.org/W3008406854,https://openalex.org/A5104047850,James S. Coleman,,Sociology and Political Science,Social Sciences,Social Capital and Networks,https://openalex.org/W3123534837,Social Capital in the Creation of Human Capital,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5086988987,Jenell S. Coleman,University of Chicago,Economics and Econometrics,"Economics, Econometrics and Finance",Labor market dynamics and wage inequality,https://openalex.org/W2085491458,Social Capital in the Creation of Human Capital,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5006302465,Laura J. Damschroder,VA Ann Arbor Healthcare System,General Health Professions,Health Professions,Health Policy Implementation Science,https://openalex.org/W2020155291,Fostering implementation of health services research findings into practice: a consolidated framework for advancing implementation science,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5072254459,Robert J. Sampson,American Bar Foundation; University of Chicago,Sociology and Political Science,Social Sciences,Crime Patterns and Interventions,https://openalex.org/W2082107925,Neighborhoods and Violent Crime: A Multilevel Study of Collective Efficacy,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5074409311,Michael Marmot,University College London,General Health Professions,Health Professions,Health and Conflict Studies,https://openalex.org/W2131854704,Social determinants of health inequalities,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5054626497,Daniel K. Lapsley,University of Notre Dame,Sociology and Political Science,Social Sciences,Social and Intergroup Psychology,https://openalex.org/W2239486811,Moral Identity and Developmental Theory,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5110910530,Albert Bandura,Stanford University,Social Psychology,Psychology,Cultural Differences and Values,https://openalex.org/W2132738192,Toward a Psychology of Human Agency,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5031416960,John Beard,World Health Organization - Pakistan,Geriatrics and Gerontology,Medicine,Frailty in Older Adults,https://openalex.org/W1900956557,The World report on ageing and health: a policy framework for healthy ageing,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5059632818,James F. Sallis,San Diego State University,Health,Social Sciences,Health disparities and outcomes,https://openalex.org/W1893208408,Ecological models of health behavior.,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5035987183,Jonathan Silvertown,The Open University,Ecological Modeling,Environmental Science,Species Distribution and Climate Change,https://openalex.org/W1987172718,A new dawn for citizen science,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5005676241,Jenny de Jong Gierveld,Netherlands Interdisciplinary Demographic Institute,Health,Social Sciences,Health disparities and outcomes,https://openalex.org/W2096847786,"A 6-Item Scale for Overall, Emotional, and Social Loneliness",outgoing
https://openalex.org/W3008406854,https://openalex.org/A5051442897,Greg Brown,The University of Queensland,"Geography, Planning and Development",Social Sciences,Geographic Information Systems Studies,https://openalex.org/W2099504029,Key issues and research priorities for public participation GIS (PPGIS): A synthesis based on empirical research,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5009955245,Julian Rappaport,,General Health Professions,Health Professions,Community Health and Development,https://openalex.org/W2267889159,Studies in Empowerment,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5024085266,Thomas L. McKenzie,RAND Corporation; San Diego State University,Transportation,Social Sciences,Urban Transport and Accessibility,https://openalex.org/W2169543454,System for Observing Play and Recreation in Communities (SOPARC): Reliability and Feasibility Measures,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5003076899,Tine Buffel,Fund for Scientific Research,Demography,Social Sciences,"Migration, Aging, and Tourism Studies",https://openalex.org/W2065128784,Ageing in urban environments: Developing ‘age-friendly’ cities,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5089231767,Chi‐Wai Lui,The University of Queensland,Health,Social Sciences,Health disparities and outcomes,https://openalex.org/W1973049780,What makes a community age‐friendly: A review of international literature,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5069157074,Verena Menec,University of Manitoba,Demography,Social Sciences,"Migration, Aging, and Tourism Studies",https://openalex.org/W2097290675,Conceptualizing Age-Friendly Communities,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5014587310,­Abby C. King,Stanford University,Transportation,Social Sciences,Urban Transport and Accessibility,https://openalex.org/W2060293930,Aging in neighborhoods differing in walkability and income: Associations with physical activity and obesity in older adults,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5077564187,Mika Moran,Technion – Israel Institute of Technology; University of Haifa,Transportation,Social Sciences,Urban Transport and Accessibility,https://openalex.org/W2125676467,Understanding the relationships between the physical environment and physical activity in older adults: a systematic review of qualitative studies,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5066150142,Astrid Kemperman,Eindhoven University of Technology,Health,Social Sciences,Health disparities and outcomes,https://openalex.org/W2913804742,Loneliness of Older Adults: Social Network and the Living Environment,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5012517281,Gilbert Gonzales,Vanderbilt University,Social Psychology,Psychology,"LGBTQ Health, Identity, and Policy",https://openalex.org/W2610822044,Health Disparities by Sexual Orientation: Results and Implications from the Behavioral Risk Factor Surveillance System,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5033571130,Maarit Kahila-Tani,Aalto University,"Geography, Planning and Development",Social Sciences,Geographic Information Systems Studies,https://openalex.org/W2919467037,Does mapping improve public participation? Exploring the pros and cons of using public participation GIS in urban planning practices,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5003680594,Piotr Jankowski,San Diego State University,"Geography, Planning and Development",Social Sciences,Geographic Information Systems Studies,https://openalex.org/W2055226726,Towards participatory geographic information systems for community-based environmental decision making,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5004173714,Yi-Yin Lin,Georgia State University,Demography,Social Sciences,"Migration, Aging, and Tourism Studies",https://openalex.org/W2240915444,Aging in Taiwan: Building a Society for Active Aging and Aging in Place,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5033766275,Christopher D. Ives,RMIT University; University of Nottingham,"Health, Toxicology and Mutagenesis",Environmental Science,Urban Green Space and Health,https://openalex.org/W2582585198,"Capturing residents’ values for urban green space: Mapping, analysis and guidance for practice",outgoing
https://openalex.org/W3008406854,https://openalex.org/A5049356704,Emily A. Greenfield,"Rutgers, The State University of New Jersey",Health,Social Sciences,Health disparities and outcomes,https://openalex.org/W2144112097,Age-Friendly Community Initiatives: Conceptual Issues and Key Questions,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5019369428,Paul English,California Department of Public Health,Epidemiology,Medicine,Data-Driven Disease Surveillance,https://openalex.org/W2796446983,From Crowdsourcing to Extreme Citizen Science: Participatory Research for Environmental Health,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5083923676,S. V. Subramanian,Harvard University,Health,Social Sciences,Health disparities and outcomes,https://openalex.org/W2111468598,Neighborhood Effects on the Self-Rated Health of Elders: Uncovering the Relative Importance of Structural and Service-Related Neighborhood Environments,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5003076899,Tine Buffel,University of Manchester,Demography,Social Sciences,"Migration, Aging, and Tourism Studies",https://openalex.org/W2786927290,A Manifesto for the Age-Friendly Movement: Developing a New Urban Agenda,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5014587310,­Abby C. King,Stanford University,Ecological Modeling,Environmental Science,Species Distribution and Climate Change,https://openalex.org/W2529815915,Leveraging Citizen Science and Information Technology for Population Physical Activity Promotion,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5083892534,Sheila Novek,University of Manitoba,Sociology and Political Science,Social Sciences,Participatory Visual Research Methods,https://openalex.org/W2045862571,Older adults' perceptions of age-friendly communities in Canada: a photovoice study,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5103326975,Ronald J. Angel,The University of Texas at Austin,Health,Social Sciences,Health disparities and outcomes,https://openalex.org/W2145721193,"Longer Lives, Sicker Lives? Increased Longevity and Extended Disability Among Mexican-Origin Elders",outgoing
https://openalex.org/W3008406854,https://openalex.org/A5014587310,­Abby C. King,Stanford University,"Health, Toxicology and Mutagenesis",Environmental Science,Urban Green Space and Health,https://openalex.org/W2905634669,Maximizing the promise of citizen science to advance health and prevent disease,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5110799717,Ann Marie Corrado,,Sociology and Political Science,Social Sciences,Participatory Visual Research Methods,https://openalex.org/W2953427779,Participatory Action Research With Older Adults: A Critical Interpretive Synthesis,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5046010701,Sarah Gottwald,Aalto University,Demography,Social Sciences,Technology Use by Older Adults,https://openalex.org/W2320322222,Exploring the usability of PPGIS among older adults: challenges and opportunities,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5053485899,Sarah Gibney,Department of Health; Health Service Executive,Health,Social Sciences,Health disparities and outcomes,https://openalex.org/W2968501767,Age-friendly environments and psychosocial wellbeing: a study of older urban residents in Ireland,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5110492330,Suzanne Garon,Université de Sherbrooke,Health,Social Sciences,Health disparities and outcomes,https://openalex.org/W2046538331,"Collaborative Partnership in Age-Friendly Cities: Two Case Studies From Quebec, Canada",outgoing
https://openalex.org/W3008406854,https://openalex.org/A5000559212,Matthew P. Buman,Arizona State University; Stanford University,Transportation,Social Sciences,Urban Transport and Accessibility,https://openalex.org/W101620532,The Stanford Healthy Neighborhood Discovery Tool,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5085192896,Sandra J. Winter,Arista (United States); Stanford University,"Health, Toxicology and Mutagenesis",Environmental Science,Urban Green Space and Health,https://openalex.org/W1163549447,"Using Citizen Scientists to Gather, Analyze, and Disseminate Information About Neighborhood Features That Affect Active Living",outgoing
https://openalex.org/W3008406854,https://openalex.org/A5068407896,Samantha Rowbotham,The Australian Prevention Partnership Centre; The University of Sydney,"Public Health, Environmental and Occupational Health",Medicine,Zoonotic diseases and public health,https://openalex.org/W2768080552,Does citizen science have the capacity to transform population health science?,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5058796248,Benjamin W. Chrisinger,Arista (United States); Stanford University,"Health, Toxicology and Mutagenesis",Environmental Science,Urban Green Space and Health,https://openalex.org/W2805655750,Stress experiences in neighborhood and social environments (SENSE): a pilot study to integrate the quantified self with citizen science to improve the built environment and health,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5000559212,Matthew P. Buman,Arizona State University; Stanford University,Transportation,Social Sciences,Urban Transport and Accessibility,https://openalex.org/W2031696690,Neighborhood Eating and Activity Advocacy Teams (NEAAT): engaging older adults in policy activities to improve food and physical environments,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5069515497,Jylana L. Sheats,Tulane University,"Public Health, Environmental and Occupational Health",Medicine,"Obesity, Physical Activity, Diet",https://openalex.org/W2593907591,FEAST: Empowering Community Residents to Use Technology to Assess and Advocate for Healthy Food Environments,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5054724821,Erica Hinckson,Auckland University of Technology,"Health, Toxicology and Mutagenesis",Environmental Science,Urban Green Space and Health,https://openalex.org/W2759865749,Citizen science applied to building healthier community environments: advancing the field through shared construct and measurement development,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5016045705,Christopher Kelty,,Sociology and Political Science,Social Sciences,Climate Change Communication and Perception,https://openalex.org/W2125095473,Disentangling Public Participation In Science and Biomedicine,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5044138256,Anthony Tuckett,The University of Queensland,Transportation,Social Sciences,Urban Transport and Accessibility,https://openalex.org/W2902419061,Older Adults Using Our Voice Citizen Science to Create Change in Their Neighborhood Environment,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5058796248,Benjamin W. Chrisinger,Stanford University,"Health, Toxicology and Mutagenesis",Environmental Science,Urban Green Space and Health,https://openalex.org/W2791952675,"Leveraging Citizen Science for Healthier Food Environments: A Pilot Study to Evaluate Corner Stores in Camden, New Jersey",outgoing
https://openalex.org/W3008406854,https://openalex.org/A5029753786,Lisa Washburn,University of Arkansas System,Management Science and Operations Research,Decision Sciences,Evaluation and Performance Assessment,https://openalex.org/W2898226013,Using Ripple Effects Mapping to Evaluate a Community-Based Health Program: Perspectives of Program Implementers,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5081225371,Lauren A. Brooks-Cleator,University of Ottawa,Health,Social Sciences,Health disparities and outcomes,https://openalex.org/W2909150295,Community-level factors that contribute to First Nations and Inuit older adults feeling supported to age well in a Canadian city,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5090656271,Nicole M. Rodriguez,Stanford University,Ecological Modeling,Environmental Science,Species Distribution and Climate Change,https://openalex.org/W2924879466,"Enhancing safe routes to school programs through community-engaged citizen science: two pilot investigations in lower density areas of Santa Clara County, California, USA",outgoing
https://openalex.org/W3008406854,https://openalex.org/A5001948102,Amirulikhsan Zolkafli,Environmental Earth Sciences; The University of Queensland; Northern University of Malaysia,"Geography, Planning and Development",Social Sciences,Geographic Information Systems Studies,https://openalex.org/W2605555237,Bridging the knowledge divide between public and experts using PGIS for land use planning in Malaysia,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5084131974,Jie Yang,Boston College,Social Psychology,Psychology,"LGBTQ Health, Identity, and Policy",https://openalex.org/W2625397118,Predicting Perceived Isolation Among Midlife and Older LGBT Adults: The Role of Welcoming Aging Service Providers,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5077564187,Mika Moran,University of Haifa,Transportation,Social Sciences,Urban Transport and Accessibility,https://openalex.org/W2563687563,Exploring the Objective and Perceived Environmental Attributes of Older Adults’ Neighborhood Walking Routes: A Mixed Methods Analysis,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5014740692,Rachel Pruchno,"Rutgers, The State University of New Jersey",Health,Social Sciences,Health disparities and outcomes,https://openalex.org/W2109386445,The Texture of Neighborhoods and Disability Among Older Adults,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5024619427,Lisa G. Rosas,Palo Alto Institute,Management of Technology and Innovation,"Business, Management and Accounting",Innovative Approaches in Technology and Social Development,https://openalex.org/W2535876312,Harnessing Technology and Citizen Science to Support Neighborhoods that Promote Active Living in Mexico,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5014587310,­Abby C. King,Stanford University,General Health Professions,Health Professions,Community Health and Development,https://openalex.org/W2172319112,Theory’s role in shaping behavioral health research for population health,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5011683795,Carol D. Austin,University of Calgary,General Health Professions,Health Professions,Geriatric Care and Nursing Homes,https://openalex.org/W2024948805,Community Development with Older Adults in Their Neighborhoods: The Elder Friendly Communities Program,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5027520543,Judith G. Gonyea,Boston University,Demography,Social Sciences,"Migration, Aging, and Tourism Studies",https://openalex.org/W2096374754,Emerging Models of Age-Friendly Communities: A Framework for Understanding Inclusion,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5085192896,Sandra J. Winter,Stanford University,General Health Professions,Health Professions,Health Policy Implementation Science,https://openalex.org/W2030293215,Harnessing the potential of older adults to measure and modify their environments: long-term successes of the Neighborhood Eating and Activity Advocacy Team (NEAAT) Study,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5049927560,Rachel Welborn,Mississippi State University,General Health Professions,Health Professions,Community Health and Development,https://openalex.org/W2316382084,Turning the Tide on Poverty: Documenting impacts through Ripple Effect Mapping,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5080685522,Rebecca A. Seguin‐Fowler,Cornell University,"Public Health, Environmental and Occupational Health",Medicine,"Obesity, Physical Activity, Diet",https://openalex.org/W1499416454,"Rural Food and Physical Activity Assessment Using an Electronic Tablet-Based Application, New York, 2013–2014",outgoing
https://openalex.org/W3008406854,https://openalex.org/A5003076899,Tine Buffel,University of Manchester,Demography,Social Sciences,"Migration, Aging, and Tourism Studies",https://openalex.org/W2589614083,Developing Age-Friendly Cities: Case Studies from Brussels and Manchester and Implications for Policy and Practice,outgoing
https://openalex.org/W3008406854,https://openalex.org/A5003076899,Tine Buffel,Economic and Social Research Council; University of Manchester,Neuropsychology and Physiological Psychology,Psychology,Aging and Gerontology Research,https://openalex.org/W2599785466,"Connecting Research with Social Responsibility: Developing ‘Age-Friendly’ Communities in Manchester, UK",outgoing
https://openalex.org/W3008406854,https://openalex.org/A5028397792,Russell V. Luepker,University of Minnesota,Economics and Econometrics,"Economics, Econometrics and Finance","Health Systems, Economic Evaluations, Quality of Life",https://openalex.org/W2210236294,"Increasing Longevity: Causes, Consequences, and Prospects",outgoing
https://openalex.org/W2810134117,https://openalex.org/A5039145143,Millenium Ecosystem Assessment,,"Management, Monitoring, Policy and Law",Environmental Science,Sustainable Development and Environmental Policy,https://openalex.org/W1551533759,Ecosystems and human well-being: synthesis,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5072633457,Mark S. Reed,University of Leeds,Global and Planetary Change,Environmental Science,Sustainability and Climate Change Governance,https://openalex.org/W2168682319,Stakeholder participation for environmental management: A literature review,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5071974704,Anna Chiesura,Wageningen University & Research,"Health, Toxicology and Mutagenesis",Environmental Science,Urban Green Space and Health,https://openalex.org/W2062505214,The role of urban parks for the sustainable city,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5047258935,Erik Gómez‐Baggethun,Universidad Autónoma de Madrid; Universitat Autònoma de Barcelona,Global and Planetary Change,Environmental Science,Land Use and Ecosystem Services,https://openalex.org/W1967360446,Classifying and valuing ecosystem services for urban planning,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5015101301,Tobías Plieninger,Berlin-Brandenburg Academy of Sciences and Humanities; Humboldt-Universität zu Berlin,Global and Planetary Change,Environmental Science,Land Use and Ecosystem Services,https://openalex.org/W2086444253,"Assessing, mapping, and quantifying cultural ecosystem services at community level",outgoing
https://openalex.org/W2810134117,https://openalex.org/A5025663121,Dagmar Haase,Humboldt-Universität zu Berlin,Global and Planetary Change,Environmental Science,Land Use and Ecosystem Services,https://openalex.org/W2095375472,"A Quantitative Review of Urban Ecosystem Service Assessments: Concepts, Models, and Implementation",outgoing
https://openalex.org/W2810134117,https://openalex.org/A5010852252,Berta Martín‐López,Universidad Autónoma de Madrid,Global and Planetary Change,Environmental Science,Land Use and Ecosystem Services,https://openalex.org/W2008124447,Uncovering Ecosystem Service Bundles through Social Preferences,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5032256942,Andra‐Ioana Horcea‐Milcu,Leuphana University of Lüneburg,Global and Planetary Change,Environmental Science,Land Use and Ecosystem Services,https://openalex.org/W1967665524,Cultural Ecosystem Services: A Literature Review and Prospects for Future Research,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5065164053,Joan Iverson Nassauer,,Social Psychology,Psychology,Animal and Plant Science Education,https://openalex.org/W1851286922,"Messy Ecosystems, Orderly Frames",outgoing
https://openalex.org/W2810134117,https://openalex.org/A5055512160,Sara Meerow,Michigan Department of Natural Resources; University of Michigan,"Health, Toxicology and Mutagenesis",Environmental Science,Urban Green Space and Health,https://openalex.org/W2557458130,Spatial planning for multifunctional green infrastructure: Growing resilience in Detroit,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5015905888,Nadja Kabisch,Helmholtz Centre for Environmental Research; Humboldt-Universität zu Berlin,"Health, Toxicology and Mutagenesis",Environmental Science,Urban Green Space and Health,https://openalex.org/W1995951585,"Green justice or just green? Provision of urban green spaces in Berlin, Germany",outgoing
https://openalex.org/W2810134117,https://openalex.org/A5051442897,Greg Brown,The University of Queensland,"Geography, Planning and Development",Social Sciences,Geographic Information Systems Studies,https://openalex.org/W2099504029,Key issues and research priorities for public participation GIS (PPGIS): A synthesis based on empirical research,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5015905888,Nadja Kabisch,Helmholtz Centre for Environmental Research; Humboldt-Universität zu Berlin,"Health, Toxicology and Mutagenesis",Environmental Science,Urban Green Space and Health,https://openalex.org/W2060368122,Human–environment interactions in urban green spaces — A systematic review of contemporary issues and prospects for future research,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5015905888,Nadja Kabisch,Helmholtz Centre for Environmental Research,Global and Planetary Change,Environmental Science,Land Use and Ecosystem Services,https://openalex.org/W3048114990,Nature-Based Solutions to Climate Change Adaptation in Urban Areas,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5036255876,Rieke Hansen,Technical University of Munich,Global and Planetary Change,Environmental Science,Land Use and Ecosystem Services,https://openalex.org/W1967493837,From Multifunctionality to Multiple Ecosystem Services? A Conceptual Framework for Multifunctionality in Green Infrastructure Planning for Urban Areas,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5087834371,Erik Andersson,Stockholm University,Global and Planetary Change,Environmental Science,Land Use and Ecosystem Services,https://openalex.org/W2120537090,Reconnecting Cities to the Biosphere: Stewardship of Green Infrastructure and Urban Ecosystem Services,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5075628571,Mónica Hernández‐Morcillo,Berlin-Brandenburg Academy of Sciences and Humanities,Global and Planetary Change,Environmental Science,Land Use and Ecosystem Services,https://openalex.org/W2030080871,An empirical review of cultural ecosystem service indicators,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5018552353,Samantha Scholte,Vrije Universiteit Amsterdam,Global and Planetary Change,Environmental Science,Land Use and Ecosystem Services,https://openalex.org/W2095431708,Integrating socio-cultural perspectives into ecosystem service valuation: A review of concepts and methods,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5051442897,Greg Brown,The University of Queensland,Global and Planetary Change,Environmental Science,Land Use and Ecosystem Services,https://openalex.org/W2107583208,Empirical PPGIS/PGIS mapping of ecosystem services: A review and evaluation,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5012927544,Liisa Tyrväinen,,"Health, Toxicology and Mutagenesis",Environmental Science,Urban Green Space and Health,https://openalex.org/W2040014558,Tools for mapping social values of urban woodlands and other green areas,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5084752930,Jari Niemelä,,"Health, Toxicology and Mutagenesis",Environmental Science,Urban Green Space and Health,https://openalex.org/W1604845096,"Urban Ecology: Patterns, Processes, and Applications",outgoing
https://openalex.org/W2810134117,https://openalex.org/A5015101301,Tobías Plieninger,University of Copenhagen,Global and Planetary Change,Environmental Science,Land Use and Ecosystem Services,https://openalex.org/W2002056638,The role of cultural ecosystem services in landscape management and planning,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5072292153,Peleg Kremer,New School; Villanova University,Global and Planetary Change,Environmental Science,Land Use and Ecosystem Services,https://openalex.org/W2403896338,Key insights for the future of urban ecosystem services research,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5036255876,Rieke Hansen,Technical University of Munich,Global and Planetary Change,Environmental Science,Land Use and Ecosystem Services,https://openalex.org/W2767633750,Planning multifunctional green infrastructure for compact cities: What is the state of practice?,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5051442897,Greg Brown,The University of Queensland; University of South Australia,Transportation,Social Sciences,Urban Transport and Accessibility,https://openalex.org/W2117934501,Using participatory GIS to measure physical activity and urban park benefits,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5015905888,Nadja Kabisch,Helmholtz Centre for Environmental Research; Humboldt-Universität zu Berlin,Global and Planetary Change,Environmental Science,Land Use and Ecosystem Services,https://openalex.org/W2009464254,"Ecosystem service implementation and governance challenges in urban green space planning—The case of Berlin, Germany",outgoing
https://openalex.org/W2810134117,https://openalex.org/A5051442897,Greg Brown,Alaska Pacific University; US Forest Service,Plant Science,Agricultural and Biological Sciences,Ecology and Conservation Studies,https://openalex.org/W1804294000,Validation of a Forest Values Typology for Use in National Forest Planning,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5040404312,Vladimír Novotný,,Sociology and Political Science,Social Sciences,Transboundary Water Resource Management,https://openalex.org/W2562640423,Cities of the Future - Towards integrated sustainable water and landscape management,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5083182664,Marketta Kyttä,Aalto University,Global and Planetary Change,Environmental Science,Land Use and Ecosystem Services,https://openalex.org/W2063355162,Towards contextually sensitive urban densification: Location-based softGIS knowledge revealing perceived residential environmental quality,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5060960406,Stephan Pauleit,Technical University of Munich,Global and Planetary Change,Environmental Science,Land Use and Ecosystem Services,https://openalex.org/W2751383204,Nature-Based Solutions and Climate Change – Four Shades of Green,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5071449504,Christine Bertram,Kiel Institute for the World Economy,"Health, Toxicology and Mutagenesis",Environmental Science,Urban Green Space and Health,https://openalex.org/W1994701167,"Preferences for cultural urban ecosystem services: Comparing attitudes, perception, and use",outgoing
https://openalex.org/W2810134117,https://openalex.org/A5033571130,Maarit Kahila-Tani,Aalto University,"Geography, Planning and Development",Social Sciences,Geographic Information Systems Studies,https://openalex.org/W2214124115,Let the Citizens Map—Public Participation GIS as a Planning Support System in the Helsinki Master Plan Process,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5064965662,Emily Rall,Technical University of Munich,"Health, Toxicology and Mutagenesis",Environmental Science,Urban Green Space and Health,https://openalex.org/W2589806851,Exploring city-wide patterns of cultural ecosystem service perceptions and use,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5031674505,Christopher M. Raymond,University of South Australia,Global and Planetary Change,Environmental Science,Land Use and Ecosystem Services,https://openalex.org/W1965642028,Comparing instrumental and deliberative paradigms underpinning the assessment of social values for cultural ecosystem services,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5033766275,Christopher D. Ives,RMIT University; University of Nottingham,"Health, Toxicology and Mutagenesis",Environmental Science,Urban Green Space and Health,https://openalex.org/W2582585198,"Capturing residents’ values for urban green space: Mapping, analysis and guidance for practice",outgoing
https://openalex.org/W2810134117,https://openalex.org/A5064965662,Emily Rall,Helmholtz Centre for Environmental Research,Urban Studies,Social Sciences,Urbanization and City Planning,https://openalex.org/W2003605962,"Creative intervention in a dynamic city: A sustainability assessment of an interim use strategy for brownfields in Leipzig, Germany",outgoing
https://openalex.org/W2810134117,https://openalex.org/A5060960406,Stephan Pauleit,,Global and Planetary Change,Environmental Science,Land Use and Ecosystem Services,https://openalex.org/W1750977811,Multifunctional Green Infrastructure Planning to Promote Ecological Services in the City,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5005937185,Pete Seaman,Glasgow Centre for Population Health,"Health, Toxicology and Mutagenesis",Environmental Science,Urban Green Space and Health,https://openalex.org/W2156763592,"It's not just about the park, it's about integration too: why people choose to use or not use urban greenspaces",outgoing
https://openalex.org/W2810134117,https://openalex.org/A5033144976,Jennifer Hauck,Helmholtz Centre for Environmental Research,Global and Planetary Change,Environmental Science,Land Use and Ecosystem Services,https://openalex.org/W2074361129,“Maps have an air of authority”: Potential benefits and challenges of ecosystem service maps at different levels of decision making,outgoing
https://openalex.org/W2810134117,https://openalex.org/A5083182664,Marketta Kyttä,Aalto University,"Health, Toxicology and Mutagenesis",Environmental Science,Urban Green Space and Health,https://openalex.org/W2326394492,Urban happiness: context-sensitive study of the social sustainability of urban settings,outgoing
